"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"AAVAS",35,1490.71,2107.1,52175,73748.5,21573.5,41.35,6.09,""
"ANGELONE",5,3360,2950.1,16800,14750.5,-2049.5,-12.2,1.34,""
"ARMANFIN",25,1742,1733.1,43550,43327.5,-222.5,-0.51,-0.68,""
"ASIANPAINT",40,2947.5,2327.7,117900,93108,-24792,-21.03,-1.31,""
"AWL",45,372.67,259.3,16770,11668.5,-5101.5,-30.42,0.04,""
"BAJAJHFL",200,148,121.83,29600,24366,-5234,-17.68,-0.2,""
"BANDHANBNK",300,229,190.3,68700,57090,-11610,-16.9,2.53,""
"BANKBEES",25,529,589.79,13225,14744.75,1519.75,11.49,-0.14,""
"CAMS",26,3020.38,4297.8,78530,111742.8,33212.8,42.29,0.11,""
"CDSL",40,496.65,1803.3,19866,72132,52266,263.09,2.43,""
"CUB",100,146.67,214.1,14666.67,21410,6743.33,45.98,4.03,""
"DEN",1172,51.18,37.74,59984.6,44231.28,-15753.32,-26.26,0.67,""
"DMART",10,3860,4353.6,38600,43536,4936,12.79,0.93,""
"DREAMFOLKS",75,474.67,234.55,35600,17591.25,-18008.75,-50.59,1.41,""
"ETERNAL",200,162.29,264.42,32458.8,52884,20425.2,62.93,0.98,""
"GMMPFAUDLR",23,1766.3,1186.9,40625,27298.7,-13326.3,-32.8,-0.31,""
"GREENPANEL",29,385.34,266,11175,7714,-3461,-30.97,-0.45,""
"HAPPSTMNDS",14,349.1,646.3,4887.4,9048.2,4160.8,85.13,-0.76,""
"HDFCBANK",40,1601.6,1999.9,64064,79996,15932,24.87,-0.74,""
"HDFCLIFE",81,583.78,812.3,47286,65796.3,18510.3,39.15,0.66,""
"HINDUNILVR",12,2133.33,2290,25600,27480,1880,7.34,-0.73,""
"ICICIB22",421,39.33,110.81,16556.66,46651.01,30094.35,181.77,-0.17,""
"ICICIBANK",33,1276.12,1449.1,42111.94,47820.3,5708.36,13.56,-0.9,""
"IDFCFIRSTB",500,85.3,72.79,42650,36395,-6255,-14.67,0.59,""
"INDIGOPNTS",60,1272.08,1162.2,76325,69732,-6593,-8.64,0.09,""
"ITBEES",1000,30.59,42.31,30587.33,42310,11722.67,38.33,0.05,""
"JIOFIN",275,246.81,326.3,67872.31,89732.5,21860.19,32.21,0.88,""
"JYOTIRES",15,1480,1369.15,22200,20537.25,-1662.75,-7.49,0.54,""
"KOTAKBANK",30,1795,2168,53850,65040,11190,20.78,-1.81,""
"NIFTYBEES",220,264.51,286.4,58192,63008,4816,8.28,-0.54,""
"PVRINOX",20,1343.5,958.2,26870,19164,-7706,-28.68,-1.03,""
"RELIANCE",88,1209.37,1503.2,106424.78,132281.6,25856.82,24.3,-0.81,""
"SBILIFE",10,1170,1842.8,11700,18428,6728,57.5,-0.42,""
"SBIN",40,279.25,818.45,11170,32738,21568,193.09,1.62,""
"SWSOLAR",95,516.54,321.6,49071.55,30552,-18519.55,-37.74,0.86,""
"TATACOMM",10,1518.5,1680.7,15185,16807,1622,10.68,0.11,""
"TATAELXSI",9,7695.56,6304,69260,56736,-12524,-18.08,-0.65,""
"TCS",11,4084.55,3455,44930,38005,-6925,-15.41,0.4,""
"YESBANK",370,115.19,20.44,42619,7562.8,-35056.2,-82.25,1.29,""
