Instrument,Qty.,Avg. cost,sector,LTP,Cur. val,P&L,total_invested,P&L %,invested %
HDFCAMC,50,1925.0,Financial Services,3911.65,195582.5,99332.5,96250.0,103.2,4.73
HDFCBANK,117,1399.45,Financial Services,1728.5,202234.5,38498.850000000006,163735.65,23.51,8.05
CDSL,50,661.2,Financial Services,1330.75,66537.5,33477.5,33060.0,101.26,1.63
ICICIB22,421,39.33,ICICIB22,101.35,42668.35,26110.42,16557.93,157.69,0.81
AAVAS,90,1434.83,Financial Services,1713.65,154228.5,25093.800000000003,129134.7,19.43,6.35
CAMS,18,2642.22,Financial Services,3646.1,65629.8,18069.840000000004,47559.96,37.99,2.34
SBIN,40,279.25,Financial Services,735.7,29428.0,18258.0,11170.0,163.46,0.55
ITBEES,1000,30.59,Financial Services,46.15,46150.0,15560.0,30590.0,50.87,1.5
ZOMATO,97,101.59,Consumer Services,232.29,22532.13,12677.900000000001,9854.23,128.65,0.48
ABSLAMC,35,411.0,Financial Services,700.65,24522.75,10137.75,14385.0,70.47,0.71
KOTAKBANK,65,1829.62,Financial Services,1912.45,124309.25,5383.950000000012,118925.29999999999,4.53,5.85
HAPPSTMNDS,14,349.1,Information Technology,679.8,9517.199999999999,4629.799999999998,4887.400000000001,94.73,0.24
CUB,200,148.5,Financial Services,173.44,34688.0,4988.0,29700.0,16.79,1.46
SBILIFE,15,1175.0,Financial Services,1467.6,22014.0,4389.0,17625.0,24.9,0.87
BAJFINANCE,6,7157.5,Financial Services,8488.6,50931.600000000006,7986.600000000006,42945.0,18.6,2.11
HINDUNILVR,12,2133.33,Fast Moving Consumer Goods,2364.6,28375.199999999997,2775.239999999998,25599.96,10.84,1.26
HDFCLIFE,81,583.78,Financial Services,632.0,51192.0,3905.8199999999997,47286.18,8.26,2.33
RELIANCE,88,1209.37,Oil Gas & Consumable Fuels,1266.9,111487.20000000001,5062.640000000014,106424.56,4.76,5.23
TATACOMM,10,1518.5,Telecommunication,1604.15,16041.5,856.5,15185.0,5.64,0.75
CANBK,300,90.16,Financial Services,93.7,28110.0,1062.0,27048.0,3.93,1.33
TCS,11,4084.55,Information Technology,4016.4,44180.4,-749.6500000000015,44930.05,-1.67,2.21
BANKBEES,25,529.0,Financial Services,513.72,12843.0,-382.0,13225.0,-2.89,0.65
LAURUSLABS,15,610.0,Healthcare,640.5,9607.5,457.5,9150.0,5.0,0.45
NIFTYBEES,147,266.78,Financial Services,263.3,38705.1,-511.5599999999977,39216.659999999996,-1.3,1.93
ISEC,50,855.0,Financial Services,832.15,41607.5,-1142.5,42750.0,-2.67,2.1
GREENPANEL,29,385.34,Consumer Durables,350.05,10151.45,-1023.409999999998,11174.859999999999,-9.16,0.55
DMART,10,3860.0,Consumer Services,3725.9,37259.0,-1341.0,38600.0,-3.47,1.9
JIOFIN,225,250.1,Financial Services,249.81,56207.25,-65.25,56272.5,-0.12,2.77
JYOTIRES,15,1480.0,,,,,22200.0,,1.09
AWL,45,372.67,Fast Moving Consumer Goods,265.1,11929.500000000002,-4840.65,16770.15,-28.86,0.82
INDIGOPNTS,50,1326.5,Consumer Durables,1257.5,62875.0,-3450.0,66325.0,-5.2,3.26
ANGELONE,5,3360.0,Financial Services,2417.05,12085.25,-4714.75,16800.0,-28.06,0.83
SBICARD,84,844.98,Financial Services,810.15,68052.59999999999,-2925.7200000000157,70978.32,-4.12,3.49
PVRINOX,15,1473.0,Media Entertainment & Publication,1079.65,16194.750000000002,-5900.249999999998,22095.0,-26.7,1.09
BAJAJHFL,200,148.0,Financial Services,119.57,23914.0,-5686.0,29600.0,-19.21,1.46
ARMANFIN,25,1742.0,Financial Services,1474.5,36862.5,-6687.5,43550.0,-15.36,2.14
DREAMFOLKS,75,474.67,Services,359.8,26985.0,-8615.25,35600.25,-24.2,1.75
IDFCFIRSTB,400,90.41,Financial Services,64.15,25660.000000000004,-10503.999999999996,36164.0,-29.05,1.78
TATAELXSI,9,7695.56,Information Technology,6400.0,57600.0,-11660.040000000008,69260.04000000001,-16.84,3.41
GMMPFAUDLR,23,1766.3,Capital Goods,1186.65,27292.95,-13331.95,40624.9,-32.82,2.0
DEN,1172,51.18,Media Entertainment & Publication,38.08,44629.759999999995,-15353.200000000004,59982.96,-25.6,2.95
SWSOLAR,70,612.09,Construction,317.4,22218.0,-20628.300000000003,42846.3,-48.14,2.11
BANDHANBNK,300,229.0,Financial Services,152.39,45716.99999999999,-22983.000000000007,68700.0,-33.45,3.38
ASIANPAINT,35,3040.0,Consumer Durables,2259.25,79073.75,-27326.25,106400.0,-25.68,5.23
YESBANK,370,115.19,Financial Services,19.14,7081.8,-35538.49999999999,42620.299999999996,-83.38,2.1
